region,n,target,block,cv_r2,ci_lo,ci_hi
low_cleaned,3126,int_log_mgas,mstar_only,0.22828123106679019,0.20284469494795768,0.24652675214861347
low_cleaned,3126,int_log_mgas,l3_only,0.7883386781117435,0.771174269123742,0.8034902481237066
low_cleaned,3126,int_log_mgas,l3_plus_mstar,0.7925700353161301,0.777764546578214,0.8055578086909488
low_cleaned,3126,int_log_mgas,halo_static,0.7879732354258396,0.7755284555730095,0.7991993358692444
low_cleaned,3126,int_log_mgas,assembly_timing,0.31269938225023364,0.2899635469150003,0.3387069208119933
low_cleaned,3126,int_log_mgas,accretion_windows,0.31985069315310266,0.28875678779374686,0.33708760414175243
low_cleaned,3126,int_log_mgas,merger_counts,0.2011113324968436,0.17717492079080455,0.22786204956461809
low_cleaned,3126,int_log_mgas,l3_excl_peak,0.7884959322582124,0.7759578386746818,0.8017259478542338
low_cleaned,3126,int_log_mgas,l3_excl_accretion,0.7884668928161748,0.7753506896866064,0.8058533399666308
low_cleaned,3126,int_log_mgas,incr_L3_beyond_Mstar,0.5642888042493399,,
low_cleaned,3126,int_log_mgas,incr_Mstar_beyond_L3,0.00423135720438661,,
low_cleaned,3126,gas_fraction,mstar_only,0.14958956298797874,0.13330290076163043,0.17421639129783656
low_cleaned,3126,gas_fraction,l3_only,0.41901825068368526,0.39431681091837195,0.44973545246753205
low_cleaned,3126,gas_fraction,l3_plus_mstar,0.7710221072959065,0.7549301365740312,0.7855205752244477
low_cleaned,3126,gas_fraction,halo_static,0.23789824149134323,0.21140549013210708,0.26958353246988
low_cleaned,3126,gas_fraction,assembly_timing,0.35187789879053255,0.32788501501349876,0.3800227185014555
low_cleaned,3126,gas_fraction,accretion_windows,0.34095442980586277,0.31824182838741316,0.3697841964160366
low_cleaned,3126,gas_fraction,merger_counts,0.029823928721214688,0.01910527237847659,0.043227139970763315
low_cleaned,3126,gas_fraction,l3_excl_peak,0.4030716612435187,0.37556056924130554,0.4290454049391388
low_cleaned,3126,gas_fraction,l3_excl_accretion,0.39822336639757816,0.371804252214366,0.4234007559374704
low_cleaned,3126,gas_fraction,incr_L3_beyond_Mstar,0.6214325443079277,,
low_cleaned,3126,gas_fraction,incr_Mstar_beyond_L3,0.3520038566122212,,
low_cleaned,3126,int_log_sfr,mstar_only,0.2601921370767517,0.24174199430079998,0.28100692810488526
low_cleaned,3126,int_log_sfr,l3_only,0.3881454650238679,0.3633237382380012,0.4175640253010497
low_cleaned,3126,int_log_sfr,l3_plus_mstar,0.4720387907203703,0.4468647470127148,0.4975874422162193
low_cleaned,3126,int_log_sfr,halo_static,0.3866378576932218,0.3621092303085602,0.40965253890925907
low_cleaned,3126,int_log_sfr,assembly_timing,0.15485099592506438,0.1348219879443827,0.1764388619496737
low_cleaned,3126,int_log_sfr,accretion_windows,0.15987046499934088,0.140176655795725,0.1816935611260834
low_cleaned,3126,int_log_sfr,merger_counts,0.11214639792087189,0.09116832852493413,0.1279795947388557
low_cleaned,3126,int_log_sfr,l3_excl_peak,0.38871129333408205,0.3569310185755081,0.414573259215636
low_cleaned,3126,int_log_sfr,l3_excl_accretion,0.3886038851422188,0.3644762100213755,0.40936904555390374
low_cleaned,3126,int_log_sfr,incr_L3_beyond_Mstar,0.2118466536436186,,
low_cleaned,3126,int_log_sfr,incr_Mstar_beyond_L3,0.08389332569650243,,
low_cleaned,3126,int_log_ssfr,mstar_only,0.0014578322535373056,-0.004410228947706643,0.005721382919610062
low_cleaned,3126,int_log_ssfr,l3_only,0.2667228923362937,0.24370240987707778,0.2963467245555734
low_cleaned,3126,int_log_ssfr,l3_plus_mstar,0.28738021295886573,0.25837754324750745,0.3148710377732965
low_cleaned,3126,int_log_ssfr,halo_static,0.16108315731618097,0.14084535917652116,0.17677141930474777
low_cleaned,3126,int_log_ssfr,assembly_timing,0.21558355621902284,0.19059850002338066,0.2546715357856419
low_cleaned,3126,int_log_ssfr,accretion_windows,0.21269499723088017,0.1767634882719638,0.24160700295198737
low_cleaned,3126,int_log_ssfr,merger_counts,0.031526388357855574,0.018881205742155092,0.04580937464856383
low_cleaned,3126,int_log_ssfr,l3_excl_peak,0.25867612151878466,0.22944564820854563,0.27846877197792386
low_cleaned,3126,int_log_ssfr,l3_excl_accretion,0.2516728324824832,0.22570496465263384,0.27582370784866705
low_cleaned,3126,int_log_ssfr,incr_L3_beyond_Mstar,0.28592238070532844,,
low_cleaned,3126,int_log_ssfr,incr_Mstar_beyond_L3,0.02065732062257203,,
original,3336,int_log_mgas,mstar_only,0.3972120806102687,0.3668877113054522,0.43920866729006997
original,3336,int_log_mgas,l3_only,0.8168138269503539,0.7977019564112038,0.8423394953790458
original,3336,int_log_mgas,l3_plus_mstar,0.8179481601467135,0.7980739316447534,0.8432209477884249
original,3336,int_log_mgas,halo_static,0.7844186194880013,0.759886463938104,0.8119839506788722
original,3336,int_log_mgas,assembly_timing,0.31399204444220247,0.2924489125533247,0.33563108246596907
original,3336,int_log_mgas,accretion_windows,0.3137000749214147,0.2906933454801071,0.33567153945667366
original,3336,int_log_mgas,merger_counts,0.3664665834962113,0.3303730842178502,0.40613333872520613
original,3336,int_log_mgas,l3_excl_peak,0.8158842762717813,0.7964415003642122,0.840676070709047
original,3336,int_log_mgas,l3_excl_accretion,0.8113041497228239,0.7910450625345145,0.8366968229830867
original,3336,int_log_mgas,incr_L3_beyond_Mstar,0.42073607953644476,,
original,3336,int_log_mgas,incr_Mstar_beyond_L3,0.0011343331963595826,,
original,3336,gas_fraction,mstar_only,0.2784467851024017,0.25626316941522104,0.30000738378095226
original,3336,gas_fraction,l3_only,0.48474061422163606,0.4641954992392633,0.5128260733449459
original,3336,gas_fraction,l3_plus_mstar,0.7841059388442447,0.7693567875312589,0.8004189295578718
original,3336,gas_fraction,halo_static,-0.0015015936990332213,-0.004909000028895763,0.0096478882248939
original,3336,gas_fraction,assembly_timing,0.2840942960754985,0.260177397391241,0.2989147561038111
original,3336,gas_fraction,accretion_windows,0.30686322878973843,0.28663615041788054,0.3279437033702254
original,3336,gas_fraction,merger_counts,0.07147991904417268,0.05782987374739381,0.09627123571809085
original,3336,gas_fraction,l3_excl_peak,0.4705054366011298,0.4371044853059298,0.4945080536440085
original,3336,gas_fraction,l3_excl_accretion,0.4099565157466352,0.39122779573252026,0.4376876152148312
original,3336,gas_fraction,incr_L3_beyond_Mstar,0.5056591537418431,,
original,3336,gas_fraction,incr_Mstar_beyond_L3,0.2993653246226087,,
original,3336,int_log_sfr,mstar_only,-0.004254681048887465,-0.015536194569567643,0.003972404318887815
original,3336,int_log_sfr,l3_only,0.08474195735132854,0.07018426346191439,0.13226488001013295
original,3336,int_log_sfr,l3_plus_mstar,0.1023485787549814,0.08359136439290633,0.14509202676029856
original,3336,int_log_sfr,halo_static,0.007418979316825114,-0.0020972140558664846,0.01634045956448096
original,3336,int_log_sfr,assembly_timing,0.03584389015218599,0.031102861420771278,0.05279966944114824
original,3336,int_log_sfr,accretion_windows,0.037467961523510104,0.03066384453234692,0.050276329690521114
original,3336,int_log_sfr,merger_counts,0.02211262360411086,0.005171979196704097,0.05563024121395657
original,3336,int_log_sfr,l3_excl_peak,0.08437994826997097,0.06715073921844052,0.12758370162383487
original,3336,int_log_sfr,l3_excl_accretion,0.08160750760578458,0.06784125548929258,0.1286118078384974
original,3336,int_log_sfr,incr_L3_beyond_Mstar,0.10660325980386887,,
original,3336,int_log_sfr,incr_Mstar_beyond_L3,0.017606621403652864,,
original,3336,int_log_ssfr,mstar_only,0.11049245068008891,0.095372871384444,0.1326053159993347
original,3336,int_log_ssfr,l3_only,0.2083577897510361,0.1839216901710499,0.25282986457866236
original,3336,int_log_ssfr,l3_plus_mstar,0.20762015692900498,0.1916390613499406,0.25334335328780616
original,3336,int_log_ssfr,halo_static,0.06464607878140165,0.04632655940536762,0.08581821153174136
original,3336,int_log_ssfr,assembly_timing,0.02688164786157856,0.021669348854951313,0.04203567525531301
original,3336,int_log_ssfr,accretion_windows,0.030117678019117376,0.023103495969475304,0.03762294264213043
original,3336,int_log_ssfr,merger_counts,0.14319375792733308,0.1089230878352029,0.18474878585761095
original,3336,int_log_ssfr,l3_excl_peak,0.20591214748799141,0.18080572819946297,0.25102236408310397
original,3336,int_log_ssfr,l3_excl_accretion,0.19751387666887582,0.17959473767322465,0.24478367137896925
original,3336,int_log_ssfr,incr_L3_beyond_Mstar,0.09712770624891608,,
original,3336,int_log_ssfr,incr_Mstar_beyond_L3,-0.0007376328220311257,,
upper_transition,418,int_log_mgas,mstar_only,-0.012656533633820133,-0.03927694831471328,0.008212174887259213
upper_transition,418,int_log_mgas,l3_only,0.5505797437544275,0.4890848395724045,0.6233365942940896
upper_transition,418,int_log_mgas,l3_plus_mstar,0.5503481622710943,0.49126313278614675,0.6182440811733987
upper_transition,418,int_log_mgas,halo_static,0.3232194309663983,0.24488475012321553,0.38378612698413106
upper_transition,418,int_log_mgas,assembly_timing,0.43895697442810294,0.35789042762596196,0.5061388141727711
upper_transition,418,int_log_mgas,accretion_windows,0.35837920370609283,0.18715190407265347,0.5163548798252015
upper_transition,418,int_log_mgas,merger_counts,-0.012552356815648901,-0.04120439075305134,0.015641367685744634
upper_transition,418,int_log_mgas,l3_excl_peak,0.526065294680774,0.43719237980737413,0.6065651431633922
upper_transition,418,int_log_mgas,l3_excl_accretion,0.5386885229053535,0.4390809772815466,0.5969175353252014
upper_transition,418,int_log_mgas,incr_L3_beyond_Mstar,0.5630046959049144,,
upper_transition,418,int_log_mgas,incr_Mstar_beyond_L3,-0.00023158148333324302,,
upper_transition,418,gas_fraction,mstar_only,-0.004656373810804792,-0.04159100005831125,0.02326512955170067
upper_transition,418,gas_fraction,l3_only,0.5051749136820263,0.3821946343861433,0.5861332160355941
upper_transition,418,gas_fraction,l3_plus_mstar,0.5476310031460615,0.45350437634305657,0.6230958559113274
upper_transition,418,gas_fraction,halo_static,0.2586662307937771,0.1710699213108751,0.31382266768956
upper_transition,418,gas_fraction,assembly_timing,0.4143476961992859,0.33677085625089953,0.4650408633880185
upper_transition,418,gas_fraction,accretion_windows,0.35539348008504773,0.25101329000501377,0.48577726065250804
upper_transition,418,gas_fraction,merger_counts,-0.007486447248384276,-0.04600957536730698,0.008874517312238275
upper_transition,418,gas_fraction,l3_excl_peak,0.4729490342191845,0.37448431499837137,0.5567160978125154
upper_transition,418,gas_fraction,l3_excl_accretion,0.4918741447923862,0.40551362816717124,0.557912491505217
upper_transition,418,gas_fraction,incr_L3_beyond_Mstar,0.5522873769568662,,
upper_transition,418,gas_fraction,incr_Mstar_beyond_L3,0.04245608946403523,,
upper_transition,418,int_log_sfr,mstar_only,0.006390009277598074,-0.023394857590932593,0.046343423900566484
upper_transition,418,int_log_sfr,l3_only,0.22417730215779094,0.10656389520488953,0.34219500756255683
upper_transition,418,int_log_sfr,l3_plus_mstar,0.227732172653932,0.06843482242369546,0.33994479933724037
upper_transition,418,int_log_sfr,halo_static,0.03655102124208949,-0.007329185244124397,0.0857196294903437
upper_transition,418,int_log_sfr,assembly_timing,0.11442442489644891,0.05139877654786808,0.17643267378328256
upper_transition,418,int_log_sfr,accretion_windows,0.12575622244895376,0.07287688659500192,0.18109295132246117
upper_transition,418,int_log_sfr,merger_counts,0.1197957116671263,0.06487151801437203,0.18221079742102358
upper_transition,418,int_log_sfr,l3_excl_peak,0.20932795060083445,0.06533988060256872,0.33545004916603677
upper_transition,418,int_log_sfr,l3_excl_accretion,0.2407610967235267,0.13384268583281253,0.32951997261996463
upper_transition,418,int_log_sfr,incr_L3_beyond_Mstar,0.22134216337633392,,
upper_transition,418,int_log_sfr,incr_Mstar_beyond_L3,0.0035548704961410604,,
upper_transition,418,int_log_ssfr,mstar_only,0.013854805788536994,-0.025850160203888767,0.04150382675962082
upper_transition,418,int_log_ssfr,l3_only,0.22889515106869185,0.14129448257202873,0.3447003477665815
upper_transition,418,int_log_ssfr,l3_plus_mstar,0.2354842306753567,0.08681725602126045,0.3635802842871851
upper_transition,418,int_log_ssfr,halo_static,0.03655323351590425,-0.006405307146068639,0.08540868440943972
upper_transition,418,int_log_ssfr,assembly_timing,0.11194534203941983,0.05220341733021165,0.1744135803122036
upper_transition,418,int_log_ssfr,accretion_windows,0.12684535904348138,0.09132363585445631,0.21764335867835058
upper_transition,418,int_log_ssfr,merger_counts,0.12683218750634512,0.07168255417179706,0.17658693744595835
upper_transition,418,int_log_ssfr,l3_excl_peak,0.21566298264075662,0.10697721757710513,0.29302605496166984
upper_transition,418,int_log_ssfr,l3_excl_accretion,0.2408916581609611,0.17904670848920956,0.31008798092658224
upper_transition,418,int_log_ssfr,incr_L3_beyond_Mstar,0.22162942488681972,,
upper_transition,418,int_log_ssfr,incr_Mstar_beyond_L3,0.006589079606664855,,
high,357,int_log_mgas,mstar_only,0.12968234917807708,0.04085824780062077,0.17885494835020024
high,357,int_log_mgas,l3_only,0.6943345592349011,0.6354918760632754,0.7562503545354708
high,357,int_log_mgas,l3_plus_mstar,0.6924161565489795,0.6292879011258394,0.7641105879839905
high,357,int_log_mgas,halo_static,0.619058533185424,0.5577461424598067,0.6815744412185868
high,357,int_log_mgas,assembly_timing,0.2948740370967434,0.21485864353150008,0.3468869087950122
high,357,int_log_mgas,accretion_windows,0.25050072435995663,0.1530277880990468,0.31248739930153024
high,357,int_log_mgas,merger_counts,0.1812992307192657,0.09888760700215553,0.27495064023055343
high,357,int_log_mgas,l3_excl_peak,0.6657388074268126,0.5405961729049655,0.7428474140005846
high,357,int_log_mgas,l3_excl_accretion,0.6865571798589901,0.6313024579296068,0.7434857235574779
high,357,int_log_mgas,incr_L3_beyond_Mstar,0.5627338073709024,,
high,357,int_log_mgas,incr_Mstar_beyond_L3,-0.001918402685921583,,
high,357,gas_fraction,mstar_only,-0.011723831513341443,-0.053136934146257496,0.0022010770041922655
high,357,gas_fraction,l3_only,0.5653519918182683,0.4101384091722149,0.6244907587970587
high,357,gas_fraction,l3_plus_mstar,0.6537967556367047,0.554680896964892,0.715841749433485
high,357,gas_fraction,halo_static,0.3851496879228754,0.28888603648786787,0.4684761494148416
high,357,gas_fraction,assembly_timing,0.3209303412111667,0.22900825473647296,0.37592945971825303
high,357,gas_fraction,accretion_windows,0.23888432149328684,0.13535046579559423,0.31448603650603696
high,357,gas_fraction,merger_counts,0.05626715482716484,-0.007346917176525415,0.13910642636959583
high,357,gas_fraction,l3_excl_peak,0.4950875307148612,0.4076185903895519,0.570854748344277
high,357,gas_fraction,l3_excl_accretion,0.5584464403462284,0.40904194595867976,0.6375554493546816
high,357,gas_fraction,incr_L3_beyond_Mstar,0.6655205871500461,,
high,357,gas_fraction,incr_Mstar_beyond_L3,0.08844476381843636,,
high,357,int_log_sfr,mstar_only,-0.004544429107189241,-0.053939663446948095,0.006075831810805725
high,357,int_log_sfr,l3_only,0.11480369680983778,0.04459063985639965,0.20985233687456786
high,357,int_log_sfr,l3_plus_mstar,0.11192545008114663,0.04199014808109077,0.21840992002001552
high,357,int_log_sfr,halo_static,0.06201434658327374,0.023958091585466756,0.128488533209011
high,357,int_log_sfr,assembly_timing,0.07236009568882991,0.005566230309471657,0.10600781720913928
high,357,int_log_sfr,accretion_windows,0.04040912187843979,-0.020511878505034067,0.09420062292546416
high,357,int_log_sfr,merger_counts,0.018722171655505514,-0.02995612548098686,0.06924955498754094
high,357,int_log_sfr,l3_excl_peak,0.09734913146856475,0.044818330788641336,0.19116132481985182
high,357,int_log_sfr,l3_excl_accretion,0.12098303760139113,0.06491529046643812,0.23595418267737903
high,357,int_log_sfr,incr_L3_beyond_Mstar,0.11646987918833587,,
high,357,int_log_sfr,incr_Mstar_beyond_L3,-0.00287824672869115,,
high,357,int_log_ssfr,mstar_only,0.005224330627868245,-0.04382784442382431,0.026332703839320744
high,357,int_log_ssfr,l3_only,0.13667637618186107,0.09541426604699366,0.2539339607415461
high,357,int_log_ssfr,l3_plus_mstar,0.13259409298132313,0.07234695064474092,0.2602729096736355
high,357,int_log_ssfr,halo_static,0.07449579857971686,0.025639040561804938,0.16348532812002028
high,357,int_log_ssfr,assembly_timing,0.06891514752589356,0.005475980132453555,0.14322341338120187
high,357,int_log_ssfr,accretion_windows,0.03723441897912057,0.004264271230275943,0.07783789237111553
high,357,int_log_ssfr,merger_counts,0.03644889015594557,-0.02362713794483813,0.09210531973146437
high,357,int_log_ssfr,l3_excl_peak,0.11529686466903691,0.03837512914016118,0.24440522046460222
high,357,int_log_ssfr,l3_excl_accretion,0.14119866210924714,0.09919721658996696,0.21676142553999522
high,357,int_log_ssfr,incr_L3_beyond_Mstar,0.12736976235345487,,
high,357,int_log_ssfr,incr_Mstar_beyond_L3,-0.0040822832005379395,,
